file,nct_id,train_val,num_arms,num_subjects,phase,intervention_type,country,has_sap
00_NCT00006400_Prot_SAP_000.pdf,NCT00006400,train,2.0,193.0,Phase 3,Drug,US,1
00_NCT00150800_Prot_000.pdf,NCT00150800,train,1.0,668.0,Phase 3,Drug,"US,AU,BR,CA,IN,MX",0
00_NCT00553800_Prot_SAP_000.pdf,NCT00553800,train,1.0,32.0,Phase 2,Drug,US,1
00_NCT00943800_Prot_SAP_000.pdf,NCT00943800,test,3.0,87.0,Not Applicable,Drug,US,1
00_NCT01030900_Prot_SAP_000.pdf,NCT01030900,train,1.0,50.0,Phase 2,BiologicalDrug,US,1
00_NCT01197300_Prot_000.pdf,NCT01197300,train,1.0,25.0,Phase 3,Drug,"AU,CA,HU,RU,ZA,GB,BE,FI,PL,RO,TR",0
00_NCT01212900_Prot_SAP_000.pdf,NCT01212900,train,2.0,230.0,Phase 4,Drug,US,1
00_NCT01532700_Prot_SAP_000.pdf,NCT01532700,train,1.0,28.0,Phase 2,Drug,CA,1
00_NCT01557400_Prot_000.pdf,NCT01557400,train,1.0,94.0,Phase 3,Drug,"AU,BE,CA,FR,DE,IL,IT,ES,SE,GB",0
00_NCT01731600_Prot_000.pdf,NCT01731600,train,1.0,68.0,Phase 3,Drug,"US,BR,CA,FR,GR,IL,IT,JP,LT,MY,PT,PR,CH,TR,UA,GB,DE",0
00_NCT01739400_Prot_000.pdf,NCT01739400,train,1.0,217.0,Phase 3,Drug,"US,AT,BG,CL,CN,FR,DE,GR,MY,MX,PH,PL,PT,RO,RU,RS,ES,GB,VN,BE,CA,CZ,HU,IN,IL,IT,NL,ZA,TW,TR",0
00_NCT01779700_Prot_SAP_000.pdf,NCT01779700,train,2.0,40.0,Phase 2,Drug,US,1
00_NCT01887600_Prot_000.pdf,NCT01887600,val,2.0,594.0,Phase 3,Drug,"BY,BE,BG,CO,DO,EE,GE,GR,GT,HU,IT,PA,PE,PL,RO,RU,RS,ZA,ES,TR,UA,GB",0
00_NCT01907100_Prot_000.pdf,NCT01907100,test,2.0,545.0,Phase 2/Phase 3,Drug,"US,AR,AU,AT,BE,CA,CL,HR,CZ,DK,EG,FR,DE,IL,IT,JP,MX,NL,NO,PL,PT,RU,ZA,ES,SE,TR,GB,CZ",0
00_NCT01964300_Prot_SAP_000.pdf,NCT01964300,test,1.0,19.0,Phase 2,Biological,US,1
00_NCT02086500_Prot_SAP_000.pdf,NCT02086500,train,2.0,903.0,Phase 3,Drug,US,1
00_NCT02102100_Prot_000.pdf,NCT02102100,train,2.0,57.0,Not Applicable,Drug,US,0
00_NCT02108600_Prot_SAP_000.pdf,NCT02108600,train,2.0,33.0,Phase 2,Drug,US,1
00_NCT02178800_Prot_001.pdf,NCT02178800,train,2.0,199.0,Phase 2,Drug,"US,BR,MW,ZA",0
00_NCT02215200_Prot_000.pdf,NCT02215200,train,3.0,89.0,Phase 2,Drug,US,0
00_NCT02281500_Prot_000.pdf,NCT02281500,train,1.0,24.0,Phase 1/Phase 2,Biological,"US,IN,IT,LB",0
00_NCT02340000_Prot_SAP_000.pdf,NCT02340000,train,2.0,315.0,Phase 4,Drug,US,1
00_NCT02351700_Prot_SAP_000.pdf,NCT02351700,train,2.0,62.0,Phase 4,Drug,US,1
00_NCT02369900_Prot_000.pdf,NCT02369900,train,2.0,40.0,Phase 2,Drug,US,0
00_NCT02415400_Prot_000.pdf,NCT02415400,train,4.0,4614.0,Phase 4,Drug,"US,AR,AU,AT,BE,BR,BG,CA,CL,CO,HR,CZ,DK,FR,DE,HU,IN,IL,IT,KR,MX,NL,NO,PE,PL,PT,PR,RO,RU,RS,SK,ES,SE,CH,UA,GB,VI,CZ,VE",0
00_NCT02418000_Prot_001.pdf,NCT02418000,train,5.0,27.0,Phase 1/Phase 2,Drug,US,0
00_NCT02446600_Prot_SAP_000.pdf,NCT02446600,train,3.0,579.0,Phase 3,Drug,"US,CA,JP,KR",1
